Month,Year,album_name,album_artist,album_release_date,select_member,Genera,score,Blurb,album_length_minutes,track_count,avg_member_rating,discussion_attendance_count,standout_tracks,discussion_themes,new_discovery_for_most,selector_familiarity,would_recommend,discussion_duration,individual_ratings
December,2024,Live At The Regal,B.B. King,1965,Sam,Blues,,,31,19,8.3,5,"Track 5, Track 3","innovation, energy",No,Old favorite,Yes,47,"{'Steph': 9.7, 'Claire': 8.4, 'Jamie': 8.7, 'Glenn': 8.9}"
December,2024,Beethoven Blues,Jon Baptiste,2024,Steph,Classical Blues,,,44,19,7.8,5,"Track 17, Track 3","lyrics, melody",Yes,Old favorite,Yes,52,"{'Claire': 7.7, 'Sam': 8.2, 'Jamie': 8.1}"
December,2024,Manning Fireworks,MJ Lenderman,2024,Glenn,Alt Country,,,53,14,6.5,3,"Track 6, Track 6","rhythm, atmosphere",Yes,New to me,Maybe,23,"{'Jamie': 7.7, 'Claire': 5.1, 'Glenn': 5.8}"
January,2025,Highway Prayers,Billy Strings,2024,Steph,Bluegrass,,,39,19,7.4,3,"Track 16, Track 15","cultural impact, history",No,New to me,Maybe,43,"{'Claire': 8.8, 'Steph': 8.6, 'Glenn': 7.3, 'Sam': 7.8}"
January,2025,Rescue,Clarence Clemons,1983,Steph,Rock,,,35,15,8.5,5,"Track 13, Track 15","production, nostalgia",Yes,Old favorite,Yes,56,"{'Claire': 7.8, 'Sam': 7.6, 'Jamie': 8.4, 'Glenn': 8.1, 'Steph': 8.8}"
January,2025,Acts of Faith,Sault,2024,Glenn,R&B,,,32,10,8.3,4,"Track 2, Track 9","emotion, storytelling",Yes,Heard before,Yes,50,"{'Claire': 7.0, 'Steph': 9.7, 'Glenn': 9.8, 'Sam': 8.9, 'Jamie': 8.4}"
January,2025,Zombie,Fela Kuti,1976,Glenn,Afro Funk,,,53,8,9.0,3,"Track 7, Track 4","instrumentation, vocals",Yes,Heard before,Yes,68,"{'Sam': 8.4, 'Claire': 9.9, 'Glenn': 9.6}"
January,2025,"And In The Darkness, Hearts Aglow",Weyes Blood,2022,Claire,Indie,,,45,11,7.8,5,"Track 11, Track 4","production, nostalgia",Yes,Familiar,Yes,41,"{'Steph': 6.8, 'Glenn': 9.0, 'Sam': 8.8}"
January,2025,Horizons,Jasmine Myra,2022,Claire,Contemporary Jazz,,,31,9,9.5,3,"Track 2, Track 3","rhythm, atmosphere",No,Familiar,Yes,64,"{'Jamie': 10.8, 'Claire': 10.2, 'Steph': 9.8, 'Glenn': 9.3, 'Sam': 10.8}"
January,2025,17-11-70,Elton John,1971,Sam,Rock,,,50,15,6.6,3,"Track 13, Track 3","emotion, storytelling",Yes,Old favorite,Maybe,28,"{'Claire': 7.7, 'Jamie': 5.2, 'Glenn': 5.2}"
